course_title,course_difficulty,course_category
Essential Google Cloud Infrastructure: Core Services,Intermediate,General Technology
Essential Google Cloud Infrastructure: Foundation,Intermediate,General Technology
Essentials in Clinical Simulations Across the Health Professions,Intermediate,General Technology
Essentials of Corporate Finance,Intermediate,General Technology
Essentials of Global Health,Mixed,General Technology
Estadística y probabilidad,Beginner,General Technology
Evaluación educativa,Beginner,General Technology
"Everyday Excel, Part 1",Beginner,General Technology
Everyday Parenting: The ABCs of Child Rearing,Beginner,General Technology
Excel Skills for Business,Beginner,General Technology
Excel Skills for Business: Advanced,Intermediate,General Technology
Excel Skills for Business: Essentials,Beginner,General Technology
Excel Skills for Business: Intermediate I,Intermediate,General Technology
Excel Skills for Business: Intermediate II,Intermediate,General Technology
Excel to MySQL: Analytic Techniques for Business,Beginner,General Technology
Excel/VBA for Creative Problem Solving,Beginner,General Technology
"Excel/VBA for Creative Problem Solving, Part 1",Beginner,General Technology
Executive Data Science,Beginner,Data Science
Explorando la Energía Sustentable,Beginner,General Technology
Fashion as Design,Beginner,General Technology
Feminism and Social Justice,Beginner,General Technology
FinTech Law and Policy,Beginner,General Technology
FinTech: Finance Industry Transformation and Regulation,Beginner,General Technology
"FinTech: Foundations, Payments, and Regulations",Beginner,General Technology
Finance & Quantitative Modeling for Analysts,Beginner,General Technology
Finance for Non-Finance Professionals,Beginner,General Technology
Finance for Non-Financial Managers,Intermediate,General Technology
Financial Accounting Fundamentals,Beginner,General Technology
Financial Acumen for Non-Financial Managers,Beginner,General Technology
Financial Engineering and Risk Management Part I,Mixed,General Technology
Financial Management,Intermediate,General Technology
Financial Markets,Beginner,General Technology
Financial Markets and Investment Strategy,Beginner,General Technology
Financial Reporting,Intermediate,General Technology
Financial Technology (Fintech) Innovations,Beginner,General Technology
Financing and Investing in Infrastructure,Mixed,General Technology
Finanzas corporativas,Intermediate,General Technology
Finanzas personales,Mixed,General Technology
Finding Purpose and Meaning In Life: Living for What Matters Most,Beginner,General Technology
Fintech: Foundations & Applications of Financial Technology,Beginner,General Technology
First Step Korean,Beginner,General Technology
Food & Beverage Management,Mixed,General Technology
Forensic Accounting and Fraud Examination,Mixed,General Technology
Formulación y evaluación de proyectos complejos,Intermediate,General Technology
Foundational Finance for Strategic Decision Making,Beginner,General Technology
Foundations of Business Strategy,Beginner,General Technology
Foundations of Everyday Leadership,Mixed,General Technology
Foundations of Global Health,Beginner,General Technology
Foundations of Management,Beginner,General Technology
Foundations of Marketing Analytics,Intermediate,Data Science
Foundations of Positive Psychology,Beginner,General Technology
Foundations of Public Health Practice,Beginner,General Technology
From Data to Insights with Google Cloud Platform,Beginner,Data Science
From the Big Bang to Dark Energy,Beginner,General Technology
Front-End Web Development with React,Intermediate,Web Development
Front-End Web UI Frameworks and Tools: Bootstrap 4,Intermediate,Web Development
Full Stack Web and Multiplatform Mobile App Development,Intermediate,Web Development
Full-Stack Web Development with React,Intermediate,Web Development
Functional Programming Principles in Scala,Intermediate,General Technology
Functional Programming in Scala,Intermediate,General Technology
Fundamental Neuroscience for Neuroimaging,Beginner,General Technology
Fundamentals of Accounting,Beginner,General Technology
Fundamentals of Computing,Beginner,General Technology
Fundamentals of Engineering Exam Review,Mixed,General Technology
Fundamentals of GIS,Beginner,General Technology
Fundamentals of Graphic Design,Beginner,General Technology
Fundamentals of Immunology,Intermediate,General Technology
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Intermediate,General Technology
Fundamentals of Music Theory,Beginner,General Technology
Fundamentals of Project Planning and Management,Beginner,General Technology
Fundamentals of Quantitative Modeling,Mixed,General Technology
Fundamentals of Reinforcement Learning,Intermediate,General Technology
Fundamentals of Visualization with Tableau,Beginner,General Technology
Fundamentos Empresariales,Beginner,General Technology
Fundamentos Estratégicos Empresariales,Beginner,General Technology
Fundamentos de Excel para Negocios,Beginner,General Technology
Fundamentos de Finanzas Empresariales,Beginner,General Technology
Fundamentos de la escritura,Beginner,General Technology
Fundraising and Development,Beginner,General Technology
Futures Thinking,Beginner,General Technology
G Suite Administration,Beginner,General Technology
"GIS, Mapping, and Spatial Analysis",Beginner,General Technology
Game Design and Development,Intermediate,General Technology
Game Theory,Beginner,General Technology
Gamification,Mixed,General Technology
Gender and Sexuality: Diversity and Inclusion in the Workplace,Beginner,General Technology
Genomic Data Science,Intermediate,Data Science
Geographic Information Systems  (GIS),Beginner,General Technology
Geopolitics of Europe,Mixed,General Technology
Geopolítica y gobernanza global: riesgos y oportunidades,Mixed,General Technology
Gestión de organizaciones efectivas,Mixed,General Technology
Get Interactive: Practical Teaching with Technology,Beginner,General Technology
Getting Started With Music Theory,Beginner,General Technology
Getting Started with AWS Machine Learning,Intermediate,Data Science
Getting Started with Go,Intermediate,General Technology
Getting Started with Google Kubernetes Engine,Intermediate,General Technology
Getting Started with Google Sheets,Beginner,General Technology
Getting Started with SAS Programming,Beginner,General Technology
Global Diplomacy – Diplomacy in the Modern World,Mixed,General Technology
Global Diplomacy: the United Nations in the World,Beginner,General Technology
Global Energy and Climate Policy,Beginner,General Technology
Global Environmental Management,Intermediate,General Technology
Global Financial Markets and Instruments,Mixed,General Technology
Global Financing Solutions  (by EDHEC and Société Générale),Intermediate,General Technology
Global Trends for Business and Society,Mixed,General Technology
"Globalization, Economic Growth and Stability",Intermediate,General Technology
Good with Words: Writing and Editing,Beginner,General Technology
Google Cloud Platform Big Data and Machine Learning Fundamentals,Intermediate,Data Science
Google Cloud Platform Fundamentals for AWS Professionals,Intermediate,General Technology
Google IT Automation with Python,Beginner,Data Science
Google IT Support,Beginner,General Technology
Grammar and Punctuation,Mixed,General Technology
Graphic Design Elements for Non-Designers,Beginner,General Technology
Greek and Roman Mythology,Mixed,General Technology
Greening the Economy: Sustainable Cities,Beginner,General Technology
Guitar for Beginners,Mixed,General Technology
Gut Check: Exploring Your Microbiome,Mixed,General Technology
"HTML, CSS, and Javascript for Web Developers",Mixed,Web Development
Habilidades Gerenciales,Beginner,General Technology
Hacia una práctica constructivista en el aula,Mixed,General Technology
Hardware Description Languages for FPGA Design,Intermediate,General Technology
Healing with the Arts,Mixed,General Technology
Health Informatics,Beginner,General Technology
Health Information Literacy for Data Analytics,Intermediate,Data Science
Healthcare Law,Intermediate,General Technology
Healthcare Marketplace,Beginner,General Technology
Healthcare Organization Operations,Beginner,General Technology
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Mixed,General Technology
Homeland Security and Cybersecurity,Beginner,General Technology
"Hotel Management: Distribution, Revenue and Demand Management",Beginner,General Technology
How Things Work: An Introduction to Physics,Intermediate,General Technology
How To Create a Website in a Weekend! (Project-Centered Course),Mixed,General Technology
How to Start Your Own Business,Beginner,General Technology
Human Resource Management: HR for People Managers,Beginner,General Technology
IBM AI Engineering,Intermediate,Data Science
IBM AI Enterprise Workflow,Advanced,Data Science
IBM Applied AI,Beginner,Data Science
IBM Customer Engagement Specialist Professional Certificate,Beginner,General Technology
IBM Data Science,Beginner,Data Science
IT Fundamentals for Cybersecurity,Beginner,General Technology
IT Security: Defense against the digital dark arts,Beginner,General Technology
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",Beginner,General Technology
Implementación del Marketing Mix,Beginner,General Technology
Implementing RPA with Cognitive Automation and Analytics,Beginner,Data Science
Improve Your English Communication Skills,Beginner,General Technology
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Beginner,General Technology
Improving Leadership & Governance in Nonprofit Organizations,Beginner,General Technology
In the Studio: Postwar Abstract Painting,Beginner,General Technology
Indigenous Canada,Mixed,General Technology
Industrial IoT on Google Cloud Platform,Beginner,General Technology
Infectious Disease Modelling,Intermediate,General Technology
Influencer Marketing Strategy,Intermediate,General Technology
"Influencing: Storytelling, Change Management and Governance",Beginner,General Technology
Information Security: Context and Introduction,Beginner,General Technology
Information Visualization,Beginner,General Technology
Information​ ​Systems,Beginner,General Technology
Initiating and Planning Projects,Mixed,General Technology
Innovation Management,Beginner,General Technology
"Innovation Through Design: Think, Make, Break, Repeat",Beginner,General Technology
Innovation: From Creativity to Entrepreneurship,Beginner,General Technology
Inspirational Leadership: Leading with Sense,Beginner,General Technology
Inspired Leadership,Intermediate,General Technology
Inspiring and Motivating Individuals,Mixed,General Technology
Instructional Design Foundations and Applications,Mixed,General Technology
Instructional Methods in Health Professions Education,Intermediate,General Technology
Integrative Health and Medicine,Beginner,General Technology
Intellectual Property Law,Intermediate,General Technology
Interaction Design,Intermediate,General Technology
Intercultural Management,Beginner,General Technology
International Business Essentials,Intermediate,General Technology
International Cyber Conflicts,Mixed,General Technology
International Humanitarian Law in Theory and Practice,Beginner,General Technology
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Mixed,General Technology
International Law in Action: the Arbitration of International Disputes,Mixed,General Technology
International Leadership and Organizational Behavior,Mixed,General Technology
International Marketing & Cross Industry Growth,Beginner,General Technology
International Organizations Management,Beginner,General Technology
International Security Management,Beginner,General Technology
International Women's Health and Human Rights,Beginner,General Technology
International migrations: a global issue,Beginner,General Technology
Internet Connection: How to Get Online?,Beginner,General Technology
Internet Giants: The Law and Economics of Media Platforms,Mixed,General Technology
Interviewing and Resume Writing in English,Intermediate,General Technology
Introducción a Data Science: Programación Estadística con R,Beginner,Data Science
Introducción a la programación en Python I: Aprendiendo a programar con Python,Beginner,Data Science
Introduction aux Droits de l’Homme,Mixed,General Technology
Introduction to Ableton Live,Mixed,General Technology
Introduction to Artificial Intelligence (AI),Beginner,Data Science
Introduction to Big Data,Mixed,Data Science
Introduction to Blockchain Technologies,Beginner,General Technology
Introduction to Breast Cancer,Mixed,General Technology
Introduction to Business Analytics: Communicating with Data,Intermediate,Data Science
Introduction to CSS3,Mixed,General Technology
Introduction to Calculus,Intermediate,General Technology
Introduction to Chemistry:  Reactions and Ratios,Beginner,General Technology
Introduction to Classical Music,Mixed,General Technology
Introduction to Cloud Computing,Beginner,General Technology
Introduction to Computer Programming,Beginner,General Technology
Introduction to Computer Science and Programming,Beginner,General Technology
Introduction to Corporate Finance,Mixed,General Technology
Introduction to Cyber Attacks,Beginner,General Technology
Introduction to Cyber Security,Beginner,General Technology
Introduction to Cybersecurity Tools & Cyber Attacks,Beginner,General Technology
Introduction to Data Analysis Using Excel,Mixed,Data Science
Introduction to Data Science,Beginner,Data Science
Introduction to Data Science in Python,Intermediate,Data Science
Introduction to Dental Medicine,Beginner,General Technology
Introduction to Discrete Mathematics for Computer Science,Beginner,General Technology
Introduction to Electronics,Mixed,General Technology
Introduction to Embedded Systems Software and Development Environments,Intermediate,General Technology
Introduction to Engineering Mechanics,Mixed,General Technology
Introduction to Environmental Law and Policy,Mixed,General Technology
Introduction to Financial Accounting,Mixed,General Technology
Introduction to Forensic Science,Mixed,General Technology
Introduction to Game Development,Mixed,General Technology
Introduction to Genetics and Evolution,Mixed,General Technology
Introduction to Genomic Technologies,Mixed,General Technology
Introduction to HTML5,Mixed,General Technology
Introduction to Imagemaking,Beginner,General Technology
Introduction to Intellectual Property,Beginner,General Technology
Introduction to International Criminal Law,Mixed,General Technology
Introduction to Marketing,Mixed,General Technology
Introduction to Mathematical Thinking,Intermediate,General Technology
Introduction to Operations Management,Mixed,General Technology
Introduction to Personal Branding,Beginner,General Technology
Introduction to Philosophy,Mixed,General Technology
Introduction to Portfolio Construction and Analysis with Python,Mixed,Data Science
Introduction to Probability and Data,Beginner,Data Science
Introduction to Programming in C,Beginner,General Technology
Introduction to Programming with MATLAB,Beginner,General Technology
Introduction to Psychology,Beginner,General Technology
Introduction to Scripting in Python,Beginner,Data Science
Introduction to Self-Driving Cars,Advanced,General Technology
Introduction to Spreadsheets and Models,Mixed,General Technology
Introduction to Statistics & Data Analysis in Public Health,Beginner,Data Science
Introduction to Sustainability,Mixed,General Technology
Introduction to Systematic Review and Meta-Analysis,Mixed,General Technology
Introduction to Systems Engineering,Mixed,General Technology
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Intermediate,Data Science
Introduction to Thermodynamics: Transferring Energy from Here to There,Beginner,General Technology
"Introduction to Trading, Machine Learning & GCP",Intermediate,Data Science
Introduction to Typography,Beginner,General Technology
Introduction to User Experience Design,Beginner,General Technology
Introduction to User Experience Principles and Processes,Beginner,General Technology
Introduction to Web Development,Beginner,Web Development
Introduction to the Biology of Cancer,Beginner,General Technology
Introductory Human Physiology,Mixed,General Technology
Introdução aos Princípios e Práticas da Gestão De Projetos,Beginner,General Technology
Introdução à Ciência da Computação com Python Parte 1,Beginner,Data Science
Investment Management,Beginner,General Technology
Investment Management with Python and Machine Learning,Beginner,Data Science
Investment and Portfolio Management,Beginner,General Technology
Japanese for beginners 1,Beginner,General Technology
Java Programming and Software Engineering Fundamentals,Beginner,General Technology
Java Programming: Solving Problems with Software,Beginner,General Technology
Julia Scientific Programming,Beginner,General Technology
Kotlin for Java Developers,Intermediate,General Technology
L'excellence opérationnelle en pratique,Beginner,General Technology
"L'impact investing, la finance qui change le monde",Beginner,General Technology
Leadership Development for Engineers,Beginner,General Technology
Leadership in 21st Century Organizations,Mixed,General Technology
Leading Healthcare Quality and Safety,Beginner,General Technology
Leading People and Teams,Beginner,General Technology
